"ids" "gender" "prestige" "research_type" "subject"
497 1 "low prestige" "quantitative" 21
498 1 "low prestige" "quantitative" 6
499 NA "low prestige" "quantitative" 21
500 NA "low prestige" "quantitative" 13
501 NA "low prestige" "mixed" 21
502 NA "low prestige" "quantitative" 21
503 NA "low prestige" "qualitative" 7
504 NA "low prestige" "qualitative" 5
505 1 "low prestige" "quantitative" 21
506 NA "low prestige" "quantitative" 18
507 NA "low prestige" "quantitative" 7
508 NA "low prestige" "quantitative" 7
509 NA "low prestige" "quantitative" 19
510 NA "low prestige" "quantitative" 20
511 NA "low prestige" "quantitative" 21
512 NA "low prestige" "qualitative" 21
513 NA "low prestige" "mixed" 21
514 0 "high prestige" "quantitative" 6
515 NA "low prestige" "quantitative" 7
516 NA "low prestige" "quantitative" 7
517 NA "low prestige" "quantitative" 19
518 NA "low prestige" "quantitative" 19
519 NA "low prestige" "quantitative" 21
520 NA "low prestige" "quantitative" 19
521 NA "low prestige" "qualitative" 24
522 NA "low prestige" "qualitative" 20
523 NA "low prestige" "quantitative" 7
524 NA "low prestige" "quantitative" 19
525 NA "low prestige" "mixed" 21
526 NA "low prestige" "qualitative" 21
527 NA "low prestige" "quantitative" 21
528 NA "low prestige" "quantitative" 19
529 NA "low prestige" "mixed" 8
530 NA "low prestige" "quantitative" 19
531 NA "low prestige" "quantitative" 21
532 NA "low prestige" "quantitative" 3
533 NA "low prestige" "quantitative" 19
534 NA "low prestige" "quantitative" 20
535 NA "low prestige" "quantitative" 14
536 0 "low prestige" "qualitative" 14
537 NA "low prestige" "quantitative" 8
538 0 "low prestige" "quantitative" 21
539 0 "low prestige" "qualitative" 17
540 0 "low prestige" "quantitative" 29
541 NA "low prestige" "quantitative" 7
542 1 "low prestige" "quantitative" 21
543 1 "low prestige" "quantitative" 3
544 0 "low prestige" "quantitative" 15
545 NA "low prestige" "quantitative" 21
546 NA "low prestige" "quantitative" 21
547 0 "low prestige" "mixed" 24
548 0 "low prestige" "qualitative" 20
549 0 "low prestige" "quantitative" 24
550 0 "low prestige" "quantitative" 21
551 NA "low prestige" "quantitative" 20
552 NA "low prestige" "qualitative" 7
553 NA "low prestige" "qualitative" 6
554 NA "low prestige" "qualitative" 14
555 1 "low prestige" "mixed" 19
556 1 "low prestige" "mixed" 21
557 1 "low prestige" "quantitative" 16
558 NA "low prestige" "quantitative" 21
559 1 "high prestige" "quantitative" 14
560 0 "low prestige" "quantitative" 21
561 NA "low prestige" "qualitative" 2
562 0 "low prestige" "quantitative" 7
563 NA "low prestige" "mixed" 21
564 0 "low prestige" "qualitative" 8
565 NA "low prestige" "quantitative" 21
566 NA "low prestige" "quantitative" 7
567 NA "low prestige" "qualitative" 26
568 0 "low prestige" "quantitative" 21
569 0 "low prestige" "quantitative" 21
570 NA "low prestige" "mixed" 4
571 NA "low prestige" "quantitative" 19
572 NA "low prestige" "quantitative" 7
573 NA "low prestige" "quantitative" 19
574 NA "low prestige" "quantitative" 7
575 NA "low prestige" "qualitative" 21
576 0 "low prestige" "qualitative" 21
577 NA "low prestige" "quantitative" 7
578 NA "low prestige" "qualitative" 13
579 NA "low prestige" "qualitative" 19
580 NA "low prestige" "quantitative" 7
581 NA "low prestige" "qualitative" 29
582 NA "low prestige" "quantitative" 3
583 NA "low prestige" "quantitative" 21
584 NA "low prestige" "quantitative" 7
585 1 "low prestige" "quantitative" 7
586 0 "low prestige" "quantitative" 21
587 1 "high prestige" "qualitative" 20
588 1 "low prestige" "mixed" 4
589 NA "low prestige" "qualitative" 21
590 NA "low prestige" "mixed" 8
591 NA "low prestige" "qualitative" 21
592 NA "low prestige" "quantitative" 20
593 NA "low prestige" "quantitative" 6
594 NA "low prestige" "quantitative" 21
595 NA "low prestige" "quantitative" 21
596 NA "low prestige" "mixed" 3
597 NA "low prestige" "quantitative" 21
598 1 "low prestige" "quantitative" 18
599 NA "low prestige" "quantitative" 20
600 0 "low prestige" "qualitative" 9
601 NA "low prestige" "quantitative" 8
602 NA "low prestige" "quantitative" 19
603 NA "low prestige" "quantitative" 19
604 1 "low prestige" "quantitative" 1
605 1 "low prestige" "quantitative" 18
606 NA "low prestige" "quantitative" 1
607 NA "low prestige" "qualitative" 16
608 1 "low prestige" "quantitative" 20
609 NA "low prestige" "quantitative" 7
610 0 "low prestige" "mixed" 20
611 NA "low prestige" "mixed" 19
612 1 "low prestige" "quantitative" 15
613 NA "low prestige" "quantitative" 5
614 0 "low prestige" "mixed" 21
615 NA "low prestige" "quantitative" 7
616 NA "low prestige" "quantitative" 7
617 1 "low prestige" "qualitative" 19
618 NA "low prestige" "qualitative" 7
619 1 "low prestige" "quantitative" 20
620 1 "low prestige" "quantitative" 20
621 NA "low prestige" "quantitative" 21
622 NA "low prestige" "quantitative" 24
623 NA "low prestige" "quantitative" 7
624 NA "low prestige" "quantitative" 6
625 0 "low prestige" "quantitative" 20
626 NA "low prestige" "qualitative" 3
627 1 "low prestige" "quantitative" 21
628 0 "low prestige" "quantitative" 27
629 NA "low prestige" "qualitative" 19
630 0 "low prestige" "quantitative" 7
631 NA "low prestige" "quantitative" 21
632 1 "low prestige" "quantitative" 14
633 NA "low prestige" "quantitative" 21
634 1 "low prestige" "qualitative" 21
635 1 "low prestige" "quantitative" 7
636 NA "low prestige" "qualitative" 8
637 NA "low prestige" "quantitative" 17
638 1 "low prestige" "qualitative" 7
639 1 "high prestige" "quantitative" 4
640 1 "low prestige" "quantitative" 20
641 1 "low prestige" "qualitative" 20
642 0 "low prestige" "quantitative" 16
643 1 "low prestige" "quantitative" 8
644 NA "low prestige" "quantitative" 21
645 NA "low prestige" "quantitative" 21
646 NA "low prestige" "quantitative" 21
647 1 "low prestige" "quantitative" 8
648 1 "low prestige" "quantitative" 21
649 1 "low prestige" "qualitative" 21
650 1 "low prestige" "qualitative" 21
651 1 "low prestige" "qualitative" 20
652 1 "low prestige" "quantitative" 21
653 0 "low prestige" "quantitative" 20
654 1 "low prestige" "quantitative" 20
655 0 "low prestige" "quantitative" 3
656 NA "low prestige" "quantitative" 20
657 NA "low prestige" "quantitative" 21
658 NA "low prestige" "qualitative" 9
659 0 "low prestige" "quantitative" 20
660 1 "low prestige" "qualitative" 25
661 NA "low prestige" "quantitative" 24
662 NA "low prestige" "quantitative" 21
663 1 "low prestige" "quantitative" 21
664 NA "low prestige" "quantitative" 21
665 NA "low prestige" "qualitative" 21
666 NA "low prestige" "quantitative" 20
667 1 "low prestige" "quantitative" 21
668 1 "low prestige" "qualitative" 29
669 1 "low prestige" "quantitative" 24
670 0 "low prestige" "quantitative" 21
671 NA "low prestige" "quantitative" 10
672 NA "low prestige" "qualitative" 7
673 NA "high prestige" "quantitative" 16
674 0 "low prestige" "quantitative" 4
675 1 "low prestige" "quantitative" 11
676 1 "high prestige" "qualitative" 20
677 NA "high prestige" "quantitative" 19
678 1 "low prestige" "quantitative" 3
679 1 "low prestige" "qualitative" 21
680 0 "low prestige" "quantitative" 3
681 0 "low prestige" "quantitative" 16
682 0 "low prestige" "qualitative" 16
683 1 "low prestige" "quantitative" 9
684 1 "low prestige" "qualitative" 2
685 1 "low prestige" "quantitative" 24
686 NA "low prestige" "quantitative" 1
687 NA "low prestige" "qualitative" 11
688 1 "low prestige" "quantitative" 21
689 1 "low prestige" "qualitative" 20
690 NA "low prestige" "mixed" 20
691 0 "low prestige" "quantitative" 20
692 0 "low prestige" "quantitative" 24
693 0 "low prestige" "qualitative" 21
694 NA "low prestige" "qualitative" 21
695 0 "low prestige" "qualitative" 21
696 0 "low prestige" "quantitative" 24
697 1 "low prestige" "quantitative" 21
698 NA "low prestige" "mixed" 21
699 NA "low prestige" "quantitative" 7
700 0 "low prestige" "qualitative" 21
701 NA "low prestige" "quantitative" 20
702 1 "low prestige" "quantitative" 9
703 1 "low prestige" "qualitative" 21
704 1 "low prestige" "quantitative" 7
705 0 "low prestige" "quantitative" 7
706 1 "low prestige" "quantitative" 18
707 1 "high prestige" "quantitative" 10
708 0 "low prestige" "quantitative" 21
709 1 "low prestige" "qualitative" 24
710 1 "low prestige" "quantitative" 21
711 NA "low prestige" "qualitative" 16
712 1 "high prestige" "qualitative" 19
713 1 "high prestige" "qualitative" 6
