"CASEID","ALTER1","ALTER2","WEIGHT"
19850225,2,3,1
19850225,2,4,1
19850225,3,4,1
19850227,1,2,2
19850227,1,3,2
19850227,1,4,2
19850227,1,5,2
19850227,2,3,2
19850227,2,4,2
19850227,2,5,2
19850227,3,4,2
19850227,3,5,2
19850227,4,5,2
19850228,1,2,2
19850228,1,3,2
19850228,1,4,2
19850228,1,5,2
19850228,2,3,2
19850228,2,4,2
19850228,2,5,2
19850228,3,4,2
19850228,3,5,2
19850228,4,5,2
19850229,1,2,2
19850230,1,2,1
19850230,1,3,2
19850230,1,4,2
19850230,1,5,2
19850230,2,3,2
19850230,2,4,2
19850230,2,5,2
19850230,3,4,2
19850230,3,5,2
19850230,4,5,2
19850232,1,2,2
19850232,1,3,1
19850232,1,4,1
19850232,2,3,1
19850232,2,4,1
19850232,2,5,1
19850232,3,4,1
19850232,3,5,1
19850234,1,2,2
19850234,1,3,1
19850234,1,4,1
19850234,2,3,1
19850234,2,4,1
19850234,3,4,1
19850235,1,2,2
19850236,1,3,2
19850238,2,3,1
19850238,2,4,1
19850238,3,4,1
19850238,3,5,2
19850239,1,4,1
19850239,2,3,2
19850239,2,4,1
19850239,3,4,1
19850240,1,2,2
19850240,1,3,2
19850240,1,4,2
19850240,2,3,2
19850240,2,4,2
19850240,3,4,2
19850241,1,2,2
19850241,1,3,2
19850241,1,4,2
19850241,1,5,2
19850241,2,3,2
19850241,2,4,1
19850241,2,5,1
19850241,3,4,1
19850241,3,5,1
19850241,4,5,1
19850242,1,3,1
19850243,1,3,2
19850244,1,2,1
19850244,1,3,2
19850244,2,3,1
19850245,1,2,2
19850246,1,2,2
19850246,1,3,2
19850246,1,4,2
19850246,2,3,2
19850246,2,4,1
19850246,3,4,1
19850247,1,2,2
19850247,1,3,2
19850247,2,3,2
19850248,1,2,2
19850248,1,3,1
19850248,1,4,1
19850248,2,3,1
19850248,2,4,1
19850248,3,4,1
19850250,1,2,1
19850250,1,3,1
19850250,2,3,1
19850250,2,4,1
19850250,3,4,2
19850251,1,2,1
19850251,1,3,1
19850251,1,4,2
19850251,2,3,1
19850251,2,4,1
19850251,3,4,1
19850252,1,2,2
19850253,1,2,1
19850253,1,3,1
19850253,2,3,2
19850254,1,2,1
19850254,1,3,1
19850254,1,4,1
19850254,2,3,1
19850254,2,5,2
19850254,3,4,2
19850255,1,2,1
19850255,1,3,1
19850255,1,4,1
19850255,2,3,2
19850255,2,4,1
19850256,1,2,2
19850256,1,4,1
19850256,1,5,1
19850256,2,5,1
19850256,3,4,1
19850256,3,5,1
19850256,4,5,2
19850257,1,2,1
19850257,1,3,2
19850257,2,3,1
19850257,2,4,1
19850257,2,5,1
19850257,3,5,1
19850258,1,2,1
19850258,1,3,1
19850258,2,3,2
19850259,1,2,1
19850259,1,3,1
19850259,1,4,1
19850259,2,3,1
19850259,2,4,2
19850259,3,4,1
19850260,1,2,1
19850260,1,3,2
19850260,1,4,1
19850260,1,5,1
19850260,2,3,1
19850260,2,4,1
19850260,2,5,1
19850260,3,4,1
19850260,3,5,1
19850260,4,5,2
19850261,1,2,1
19850261,1,3,2
19850261,1,4,1
19850261,1,5,1
19850261,2,3,1
19850261,2,4,1
19850261,2,5,1
19850261,3,4,1
19850261,4,5,1
19850262,1,2,1
19850262,1,3,1
19850262,1,4,2
19850262,1,5,2
19850262,2,4,1
19850262,2,5,1
19850262,3,4,1
19850262,3,5,1
19850262,4,5,2
19850263,1,2,1
19850263,1,4,1
19850263,1,5,1
19850263,2,3,2
19850263,2,4,2
19850263,3,4,1
19850265,1,2,1
19850265,1,4,1
19850265,2,4,2
19850265,2,5,1
19850265,4,5,1
19850266,1,4,1
19850266,2,3,2
19850268,1,2,1
19850268,1,3,1
19850268,1,4,1
19850268,2,3,1
19850268,2,4,1
19850268,3,4,1
19850270,1,2,2
19850270,1,3,1
19850270,2,3,2
19850272,1,2,1
19850273,1,2,2
19850273,1,3,2
19850273,1,4,2
19850273,1,5,2
19850273,2,3,2
19850273,2,4,2
19850273,2,5,2
19850273,3,4,2
19850273,3,5,2
19850273,4,5,2
19850275,1,2,1
19850275,1,3,1
19850275,2,3,2
19850276,1,2,1
19850276,1,3,1
19850276,1,4,1
19850276,1,5,2
19850278,1,2,1
19850278,1,3,1
19850278,2,3,1
19850279,1,2,2
19850279,1,3,2
19850279,1,4,2
19850279,1,5,2
19850279,2,3,2
19850279,2,4,2
19850279,2,5,2
19850279,3,4,2
19850279,3,5,2
19850279,4,5,2
19850280,1,2,1
19850280,1,3,1
19850280,1,4,1
19850280,2,3,1
19850281,1,2,1
19850281,1,3,1
19850281,2,3,1
19850283,1,2,2
19850283,1,3,2
19850283,1,4,2
19850283,1,5,2
19850283,2,3,2
19850283,2,4,2
19850283,2,5,2
19850283,3,4,2
19850283,3,5,2
19850283,4,5,2
19850284,1,2,1
19850284,1,4,1
19850284,2,3,1
19850284,2,4,1
19850284,3,4,1
19850284,3,5,1
19850284,4,5,1
19850286,1,2,2
19850286,1,3,1
19850293,1,2,1
19850294,1,2,1
19850294,2,3,1
19850294,2,4,2
19850294,3,4,2
19850295,1,2,1
19850295,1,3,1
19850295,2,3,1
19850296,1,2,2
19850296,1,3,2
19850296,2,3,1
19850297,1,2,1
19850297,1,3,1
19850297,1,4,1
19850297,2,3,1
19850297,2,4,1
19850297,3,4,2
19850298,1,2,2
19850298,1,3,1
19850298,1,4,1
19850298,2,3,1
19850298,2,4,1
19850298,3,4,1
19850299,1,2,1
19850299,1,4,1
19850299,2,3,2
19850299,2,4,2
19850299,3,4,2
19850300,1,2,2
19850300,1,3,2
19850300,2,3,2
19850301,1,2,2
19850301,1,3,2
19850301,1,4,2
19850301,1,5,2
19850301,2,3,2
19850301,2,4,2
19850301,2,5,2
19850301,3,4,2
19850301,3,5,2
19850301,4,5,2
19850302,1,2,1
19850304,1,2,2
19850305,1,2,2
19850305,2,4,1
19850308,1,2,2
19850308,1,3,2
19850308,2,3,2
19850309,1,2,1
19850309,1,3,2
19850309,2,3,1
19850310,1,2,1
19850310,1,3,1
19850310,1,4,1
19850310,2,3,2
19850310,2,4,1
19850310,3,4,1
19850312,1,2,2
19850312,1,3,2
19850312,1,4,2
19850312,1,5,2
19850312,2,3,2
19850312,2,4,1
19850312,2,5,1
19850312,3,4,1
19850312,4,5,2
19850313,1,2,2
19850313,1,3,1
19850313,1,4,1
19850313,2,3,1
19850313,2,4,1
19850313,3,4,2
19850313,3,5,1
19850313,4,5,1
19850314,1,2,2
19850316,1,2,2
19850316,1,3,1
19850316,1,4,1
19850316,1,5,1
19850316,2,3,1
19850316,2,4,1
19850316,2,5,1
19850316,3,4,1
19850317,1,2,2
19850317,1,3,2
19850317,1,4,2
19850317,1,5,2
19850317,2,3,2
19850317,2,4,2
19850317,2,5,2
19850317,3,4,2
